Tour,Address,Name ,ID,Link
1,104 N. Central Avenue,Halberstadt,halberstadt,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_1/Halberstadt_House.mp3
1,505 W. Main Street,Griggs,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_1/Griggs_House.mp3
1,612 W. Green Street,Ricker,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_1/Ricker_House.mp3
1,404 W. Illinois Street,Boyden,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_1/Boyden_House.mp3
1,223 N. Broadway Avenue,The Station Theatre,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_1/Station_Theatre.mp3
1,120 W. Main Street,Princess Theatre,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_1/Princess_Theater.mp3
1,101 E. Main Street,Champaign County Courthouse,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_1/Courthouse.mp3
1,115 W. Main Street,Tiernan's Hall,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_1/Tiernans_Hall.mp3
2,311 W. Elm Street,Park Residence,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_2/Park_Residence.mp3
2,1203 W. Green Street,Wesley Foundation,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_2/Wesley_Foundations.mp3
2,312 W. Green Street,Lindley House,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_2/Lindley_House.mp3
2,1106 S. Lincoln Avenue,Alpha Gamma House,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_2/Alpha_Gamma_House.mp3
2,613 W. Vermont Avenue,Dovring House,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_2/Dovring_House.mp3
2,312 W. Oregon Street,Leal School,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_2/Leal_School.mp3
2,801 W. Oregon Street,Royer House,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_2/Royer_House.mp3
2,708 S. Busey Avenue,DeWolf House,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_2/DeWolf_708.mp3
2,1806 Pleasant Circle,Green Home,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_2/Green_Home.mp3
3,303 W. Indiana Avenue,Erlanger House,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_3/Erlanger_House.mp3
3,301 W. Indiana Avenue,Plan Book House,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_3/Plan_Book_House.mp3
3,411 W. Indiana Avenue,Ortiz House,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_3/Ortiz_House.mp3
3,701 W. Pennsylvania Avenue,Hiernonymous House,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_3/Hieronymous_House.mp3
3,209 W. Delaware Avenue,Zook House,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_3/Zook_House.mp3
3,701 S. Busey Avenue,Mother-In-Law Cottage,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_3/Mother_In_Law.mp3
3,601 W. Delaware Avenue,Frank DeWolf House,,https://www.city.urbana.il.us/_Video/History_Podcasts/Tour_3/DeWolf_House.mp3
